id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,redeem_dt,force_redeem_price,force_redeem
110066,盛屯转债,600711.ss,盛屯矿业,205.770,208.42,-1.27%,AA,2.42,1.6%,1.4%,,6.33,2021年6月8日公告：本次（2021年5月18日至2021年6月7日）不行使盛屯转债提前赎回权利，至2021年7月7日均不提前赎回
128032,双环转债,002472.sz,双环传动,179.200,181.36,-1.19%,AA,3.69,0.9%,0.7%,2021-07-27,12.83,"最后交易日：2021年7月27日
最后转股日：2021年7月27日
赎回价：100.88元/张"
113040,星宇转债,601799.ss,星宇股份,138.240,139.81,-1.12%,AA+,9.78,1.1%,1.1%,2021-08-02,203.71,"最后交易日：2021年8月2日
最后赎回日：2021年8月2日
赎回价：100.156元/张"
123007,道氏转债,300409.sz,道氏技术,195.017,196.55,-0.78%,AA-,4.33,1.2%,0.7%,2021-08-12,18.85,"最后交易日：2021年8月12日
最后转股日：2021年8月12日
赎回价：100.94元/张"
128093,百川转债,002455.sz,百川股份,187.700,188.91,-0.64%,AA-,4.06,4.9%,3.8%,,7.50,2021年7月21日公告：本次（2021年6月9日起至2021年7月21日）不行使百川转债的提前赎回权利，至2021年12月31日均不提前赎回
113585,寿仙转债,603896.ss,寿仙谷,143.290,144.12,-0.57%,AA-,4.38,2.0%,2.0%,,36.89,2021年2月18日公告：本次（2020年12月30日至2021年2月10日）不行使提前赎回权利，至2021年8月10日均不行使赎回权利，不提前赎回
123067,斯莱转债,300382.sz,斯莱克,233.000,233.44,-0.19%,AA-,11.20,2.9%,2.9%,,12.17,2021年7月12日公告：本次（2021年6月22日至2021年7月12日）不行使斯莱转债的提前赎回权利，不提前赎回
113611,福20转债,603806.ss,福斯特,209.470,209.85,-0.18%,AA,12.68,0.4%,0.4%,2021-07-28,79.34,"最后交易日：2021年7月28日
最后转股日：2021年7月28日
赎回价：100.164元/张"
113504,艾华转债,603989.ss,艾华集团,174.980,175.20,-0.13%,AA,5.20,3.4%,3.4%,,27.05,2021年7月13日公告：本次（2021年6月23日至2021年7月13日）不行使转债的提前赎回权利，不提前赎回
110074,精达转债,600577.ss,精达股份,246.620,246.38,0.10%,AA,4.61,3.2%,3.2%,,4.85,2021年6月16日公告：本次（2021年5月21日至2021年6月15日）不行使精达转债的提前赎回权利，至2021年12月15日前均不提前赎回
