id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time
123102,华自转债,300490.sz,华自科技,193.000,227.54,-15.18%,AA-,2.86,12.7%,12.4%,2025-03-11,100.000,6.48,2027-03-11,119.000,5.636
127029,中钢转债,000928.sz,中钢国际,167.520,176.06,-4.85%,AA+,2.23,7.4%,7.4%,2025-03-18,100.000,4.12,2027-03-18,113.000,5.655
120003,19华菱EB,000932.sz,华菱钢铁,165.990,170.47,-2.63%,AAA,1.44,4.7%,3.9%,2023-11-24,100.000,3.13,2024-11-25,110.000,3.345
120004,20华菱EB,000932.sz,华菱钢铁,151.500,154.88,-2.18%,AAA,1.44,3.5%,2.9%,2024-01-09,100.000,3.44,2025-01-09,110.000,3.468
123050,聚飞转债,300303.sz,聚飞光电,158.510,162.01,-2.16%,AA-,4.12,5.4%,4.9%,2024-04-15,100.000,3.56,2026-04-13,118.000,4.726
113621,彤程转债,603650.ss,彤程新材,187.200,190.71,-1.84%,AA,13.61,2.2%,2.2%,2025-01-27,100.000,22.83,2027-01-25,110.000,5.512
123094,星源转2,300568.sz,星源材质,200.073,203.11,-1.49%,AA,9.47,4.0%,3.5%,2025-01-20,100.000,11.78,2027-01-19,112.000,5.496
113568,新春转债,603667.ss,五洲新春,149.790,151.89,-1.38%,AA-,2.12,8.2%,7.3%,2024-03-05,100.000,6.12,2026-03-05,118.000,4.619
123070,鹏辉转债,300438.sz,鹏辉能源,147.050,148.50,-0.98%,AA,5.06,9.5%,7.1%,2024-10-21,100.000,14.04,2026-10-19,110.000,5.244
128051,光华转债,002741.sz,光华科技,163.510,164.78,-0.77%,AA-,6.07,2.2%,1.9%,2022-12-14,100.000,8.90,2024-12-14,110.000,3.397
123089,九洲转2,300040.sz,九洲集团,149.140,150.18,-0.69%,AA-,1.90,11.3%,8.5%,2024-12-20,100.000,3.98,2026-12-20,115.000,5.414
113508,新凤转债,603225.ss,新凤鸣,146.750,147.73,-0.66%,AA,2.57,5.1%,5.0%,2022-04-26,100.000,10.96,2024-04-25,108.000,2.759
132014,18中化EB,601117.ss,中国化学,134.490,135.06,-0.26%,AAA,1.23,6.3%,6.3%,2022-04-24,100.000,4.99,2023-04-24,106.000,1.753
128085,鸿达转债,002002.sz,鸿达兴业,126.200,126.34,-0.11%,B,1.72,5.2%,5.2%,2023-12-18,100.000,2.74,2025-12-16,118.000,4.403
128082,华锋转债,002806.sz,华锋股份,140.373,140.42,-0.03%,A,2.23,17.1%,11.0%,2023-12-04,100.000,6.39,2025-12-03,115.000,4.367
123069,金诺转债,300505.sz,川金诺,167.900,167.73,0.10%,AA-,4.02,8.9%,6.1%,2024-10-15,100.000,13.36,2026-10-15,120.000,5.233
128064,司尔转债,002538.sz,司尔特,143.864,143.64,0.15%,AA,1.50,9.5%,9.3%,2023-04-10,100.000,4.07,2025-04-08,110.000,3.712
