name,id,sector
苏泊尔,002032.sz,manufacturing
美的集团,000333.sz,manufacturing
格力电器,000651.sz,manufacturing
三花智控,002050.sz,manufacturing
比亚迪,002594.sz,manufacturing
海康威视,002415.sz,manufacturing
漫步者,002351.sz,manufacturing
京东方A,000725.sz,manufacturing
晨光文具,603899.ss,manufacturing
豪悦护理,605009.ss,other
信立泰,002294.sz,medical
华东医药,000963.sz,medical
鱼跃医疗,002223.sz,medical
华兰生物,002007.sz,medical
恒瑞医药,600276.ss,medical
复星医药,600196.ss,medical
艾德生物,300685.sz,medical
天坛生物,600161.ss,medical
通化东宝,600867.ss,medical
通策医疗,600763.ss,medical
中源协和,600645.ss,medical
牧原股份,002714.sz,consumer
三全食品,002216.sz,consumer
安井食品,603345.ss,consumer
恰恰食品,002557.sz,consumer
安琪酵母,600298.ss,consumer
双汇发展,000895.sz,consumer
三一重工,600031.ss,heavy
中联重科,000157.sz,heavy
徐工机械,000425.sz,heavy
特变电工,600089.ss,heavy
隆基股份,601012.ss,heavy
潍柴动力,000338.sz,heavy
国电电力,600795.ss,heavy
航天科技,000901.sz,heavy
航天电子,600879.ss,heavy
航天发展,000547.sz,heavy
中国卫星,600118.ss,heavy
万科A,000002.sz,infrastructure
招商蛇口,001979.sz,infrastructure
广州港,601228.ss,infrastructure
首创水务,600008.ss,infrastructure
葛洲坝,600068.ss,infrastructure
中国能源建设,3996.hk,infrastructure
宁沪高速,600377.ss,infrastructure
平安银行,000001.sz,finance
中国平安,601318.ss,finance
杭州银行,600926.ss,finance
完美世界,002624.sz,internet
紫光股份,000938.sz,internet
三七互娱,002255.sz,internet
浪潮,000977.sz,internet
中科曙光,603019.ss,internet
