id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,redeem_dt,force_redeem_price,force_redeem
113527,维格转债,603518.ss,锦泓集团,194.610,198.68,-2.05%,AA,2.77,5.3%,5.3%,,12.80,2021年5月28日公告：本次不行使赎回权，至2021年8月27日公司均不行使维格转债的提前赎回权利
113040,星宇转债,601799.ss,星宇股份,135.710,136.57,-0.63%,AA+,9.55,1.5%,1.5%,2021-08-02,203.71,"最后交易日：2021年8月2日
最后赎回日：2021年8月2日
赎回价：100.156元/张"
113611,福20转债,603806.ss,福斯特,179.030,180.16,-0.63%,AA,10.76,0.7%,0.7%,2021-07-28,79.34,"最后交易日：2021年7月28日
最后转股日：2021年7月28日
赎回价：100.164元/张"
110066,盛屯转债,600711.ss,盛屯矿业,190.110,190.76,-0.34%,AA,2.22,1.9%,1.7%,,6.33,2021年6月8日公告：本次（2021年5月18日至2021年6月7日）不行使盛屯转债提前赎回权利，至2021年7月7日均不提前赎回
128128,齐翔转2,002408.sz,齐翔腾达,166.562,167.13,-0.34%,AA,2.49,3.6%,3.5%,,10.36,2021年7月16日公告，本次不行使的提前赎回权利， 至2021年7月24日公司均不行使提前赎回权利，不提前赎回
123007,道氏转债,300409.sz,道氏技术,191.915,192.55,-0.33%,AA-,4.19,1.8%,1.1%,2021-08-12,18.85,"最后交易日：2021年8月12日
最后转股日：2021年8月12日
赎回价：100.94元/张"
128032,双环转债,002472.sz,双环传动,186.001,186.63,-0.33%,AA,3.80,1.1%,0.9%,2021-07-27,12.83,"最后交易日：2021年7月27日
最后转股日：2021年7月27日
赎回价：100.88元/张"
113534,鼎胜转债,603876.ss,鼎胜新材,191.110,191.04,0.04%,AA-,3.63,3.2%,3.2%,,19.73,2021年7月1日公告：本次（2021年5月19日至2021年6月30日）不提前赎回，至2021年9月30日均不提前赎回
110074,精达转债,600577.ss,精达股份,232.870,232.71,0.07%,AA,4.30,3.5%,3.5%,,4.85,2021年6月16日公告：本次（2021年5月21日至2021年6月15日）不行使精达转债的提前赎回权利，至2021年12月15日前均不提前赎回
113585,寿仙转债,603896.ss,寿仙谷,144.080,143.06,0.71%,AA-,4.35,2.0%,2.0%,,36.89,2021年2月18日公告：本次（2020年12月30日至2021年2月10日）不行使提前赎回权利，至2021年8月10日均不行使赎回权利，不提前赎回
128113,比音转债,002832.sz,比音勒芬,173.950,172.47,0.86%,AA,5.24,3.3%,2.2%,,18.98,2021年4月29日公告，本次（2021年3月16日起至4月27日）不提前赎回比音转债，至2021年7月27日均不提前赎回
128050,钧达转债,002865.sz,钧达股份,177.607,175.00,1.49%,AA-,3.15,4.2%,4.1%,,19.24,2021年3月20日公告：本次（2021年2月22日至2021年3月19日）不行使钧达转债的提前赎回权利，至2021年6月18日均不提前赎回
128075,远东转债,002406.sz,远东传动,122.500,120.23,1.89%,AA,1.16,17.2%,13.7%,,6.88,公司8月26日公告：本次（2020年7月14日至2020年8月24日）不行使远东转债的提前赎回权利，未来三个月亦不提前赎回
110048,福能转债,600483.ss,福能股份,157.130,154.19,1.91%,AA+,1.44,9.4%,8.3%,,10.56,2021年7月7日公告：本次（2021年6月9日至2021年7月6日）不行使福能转债的提前赎回权利，至2021年10月6日均不提前赎回
123067,斯莱转债,300382.sz,斯莱克,182.993,179.38,2.01%,AA-,8.61,4.1%,4.1%,,12.17,2021年7月12日公告：本次（2021年6月22日至2021年7月12日）不行使斯莱转债的提前赎回权利，不提前赎回
113025,明泰转债,601677.ss,明泰铝业,228.660,221.82,3.08%,AA,1.82,6.6%,6.6%,,14.30,2021年3月30日公告：本次（2021年3月9日至2021年3月29日期）不行使明泰转债的提前赎回权利，不提前赎回
128095,恩捷转债,002812.sz,恩捷股份,377.223,365.83,3.11%,AA,18.25,0.3%,0.2%,,84.40,2021年1月25日公告：本次（2021年1月4日至2021年1月22日）不行使恩捷转债的提前赎回权利，不提前赎回
113509,新泉转债,603179.ss,新泉股份,217.640,211.02,3.14%,AA,3.34,0.7%,0.7%,,19.82,2021年4月12日：本次（2021年3月22日至2021年4月12日）不行使提前赎回权利，至2021年7月12日均不提前赎回
113034,滨化转债,601678.ss,滨化股份,189.730,183.41,3.45%,AA,1.99,2.9%,2.9%,,5.95,2020年5月10日公告：本次（2021年4月8日至2021年5月10日）不提前赎回，至2021年8月10日前均不提前赎回
128046,利尔转债,002258.sz,利尔化学,147.900,142.94,3.47%,AA,3.38,5.9%,5.8%,,23.95,2021年7月16日公告：本次（2021年6月3日至2021年7月15日）不提前赎回，至2021年12月31日内前均不提前赎回
123066,赛意转债,300687.sz,赛意信息,148.500,143.11,3.76%,A+,6.50,4.8%,3.4%,,18.21,2021年7月5日公告：本次（2021年6月15日至2021年7月5日）本次不行使赛意转债提前赎回权利，不提前赎回
113582,火炬转债,603678.ss,火炬电子,311.620,299.08,4.19%,AA,8.32,1.2%,1.2%,,32.49,2021年4月14日公告，本次（2021年3月23日至2021年4月13日）不行提前赎回权利，至2021年7月13日均不提前赎回
113504,艾华转债,603989.ss,艾华集团,176.690,169.25,4.40%,AA,5.03,3.5%,3.5%,,27.05,2021年7月13日公告：本次（2021年6月23日至2021年7月13日）不行使转债的提前赎回权利，不提前赎回
128097,奥佳转债,002614.sz,奥佳华,195.000,186.53,4.54%,AA,2.62,5.3%,3.8%,,13.51,"公司9月9日公告，决定在未来12个月内（即2021年9月9日前），均不行使奥佳转
债的提前赎回权利，不提前赎回"
