id,iry1,iry2,iry3,iry4,iry5,iry6
123116,0.40,0.70,1.00,1.80,2.50,3.50
123115,0.4,0.6,1,1.5,2,3
127029,0.20,0.40,0.60,1.50,1.80,2.00
120003,1,1.0,2,1.0,3,1.0,4,1.0,5,1.0
113049,0.2,0.4,0.6,0.8,1.5,2.0
123054,0.50,0.70,1.20,1.80,2.50,3.00
113050,0.20,0.40,0.70,1.20,1.70,2.00
113534,0.4,0.6,1.0,1.5,1.8,2.0
123102,0.40,0.60,1.20,2.20,3.50,4.00
120004,1.0,1.0,1.0,1.0,1.0,1.0
123058,0.40,0.60,1.00,1.50,1.80,2.00
110048,0.4,0.6,1.0,1.5,1.8,2.0
113508,0.30,0.50,1.00,1.50,1.80,2.00
113611,0.25,0.45,0.75,0.95,1.45,1.75
123052,0.5,0.8,1.5,2.0,2.5,3.0
128057,0.5,0.8,1.0,1.5,1.8,2.0
128093,0.50,0.80,2.50,3.00,3.50,4.00
128094,0.5,0.7,1.2,1.8,2.3,2.6
128143,0.5,0.7,1.2,1.8,2.5,3.0
128064,0.40,0.60,1.00,1.50,1.80,2.0
113615,0.40,0.60,1.00,1.50,1.80,2.00
128032,0.3,0.5,1.0,1.5,1.8,2.0
123089,0.4,0.6,1.0,1.5,2.5,3.0
113541,0.50,0.70,1.00,1.50,1.80,2.00
111000,0.40,0.60,1.00,1.50,2.00,3.00
110033,0.3,0.5,0.9,1.4,1.7,2
128013,0.4,0.6,1,1.5,1.8,2
128046,0.40,0.60,1.00,1.50,1.80,2.00
113612,0.50,0.70,1.00,1.50,2.50,3.00
113609,0.4,0.6,1.0,1.5,2.0,3.0
132018,1,0.5,2,0.5,3,0.5,4,0.5,5,0.5
128130,0.3,0.5,1.0,1.5,1.8,2.0
113623,0.30,0.50,1.00,1.50,1.80,2.00
128051,0.50,0.70,1.00,1.80,2.00,3.00
128085,0.4,0.6,1.0,1.8,3.0,5.0
123094,0.40,0.60,1.00,1.50,1.80,2.00
123067,0.4,0.8,1.0,1.5,2.5,3.0
127035,0.6,0.8,1.5,3.0,3.8
110061,0.20,0.50,1.00,1.50,1.80,2.00
132014,0.9,0.9,0.9,0.9,0.9,0.9
113040,0.2,0.4,0.6,0.8,1.5,2.0
123082,0.5,0.7,1.2,1.8,2.5,3
127038,0.20,0.40,0.60,1.50,1.80,2.00
123110,0.40,0.60,1.20,1.80,2.40,3.00
128134,0.30,0.50,1.00,1.50,1.80,2.00
128082,0.6,0.8,1.4,1.9,2.3,2.8
128029,0.3,0.5,0.8,1.0,1.5
113625,0.40,0.60,1.00,1.50,2.50,3.00
123100,0.4,0.6,1.0,1.5,2.0,3.0
123060,0.40,0.70,1.00,1.50,2.00,2.50
127027,0.4,0.6,1.0,1.5,1.8,2.0
128141,0.30,0.50,1.00,1.50,1.80,2.00
127037,0.30,0.50,1.00,1.50,1.80,2.00
123097,0.50,0.70,1.20,1.80,2.40,2.90
110080,0.30,0.50,1.00,1.50,1.80,2.00
123073,0.5,0.7,1.2,1.8,2.2,2.8
128107,0.40,0.60,1.00,1.50,1.80,2.00
113568,0.50,0.80,1.20,1.80,2.50,3.00
123086,0.40,0.60,1.00,1.50,2.00,3.00
128081,0.3,0.6,1.0,1.5,1.8,2.0
110053,0.2,0.8,1.5,2.3,3.5,4.0
128145,0.3,0.6,1,1.5,2,2.5
127036,0.2,0.4,0.6,1.5,1.8,2.0
123007,0.5,0.7,1.0,1.5,1.8,2.0
123051,0.5,0.8,1.2,1.8,2.5,3.0
113621,0.3,0.5,1.00,1.50,1.80,2.00
123080,0.5,0.8,1.2,1.8,2.2,2.8
123106,0.40,0.60,1.00,1.50,2.00,2.50
128087,0.40,0.60,1.00,1.50,1.80,2.00
123063,0.4,0.6,1.2,1.8,2.5,3.0
123071,0.4,0.6,1.0,1.6,2.5,3.0
127028,0.30,0.50,1.00,1.50,1.80,2.00
123035,0.50,0.80,1.00,1.50,1.80,2.00
123083,0.30,0.50,1.00,1.50,1.80,2.00
128127,0.5,0.8,1.0,1.5,2.5,3.5
113618,0.4,0.6,1.0,1.5,1.8,2.0
123092,0.50,0.70,1.20,1.80,2.40,2.80
123079,0.3,0.5,1.0,1.5,1.8,2.0
113536,0.4,0.5,1,1.5,1.8,2
110071,0.3,0.6,1.0,1.5,1.8,2.0
113047,0.20,0.40,0.60,1.00,1.80,2.00
128091,0.6,0.8,1.4,1.9,2.3,2.8
113606,0.50,0.70,1.00,1.50,2.50,3.00
110077,0.2,0.4,0.6,0.8,1.5,2.0
110070,0.4,0.7,1.1,1.6,2.0,2.2
123078,0.30,0.60,1.00,1.50,1.80,2.00
123061,0.5,0.8,1.2,1.8,2.5,3.0
113030,0.40,0.60,1.00,1.50,1.80,2.00
128140,0.30,0.60,1.00,1.50,1.80,2.00
110045,0.3,0.5,0.8,1.0,1.3,1.8
123112,0.4,0.7,1.0,1.8,2.5,3.0
113572,0.40,0.50,1.00,1.50,1.80,2.00
128106,0.30,0.60,1.00,1.50,1.80,2.00
110063,0.3,0.5,0.9,1.5,2.0,2.5
128129,0.20,0.40,0.80,1.20,1.60,2.00
113033,0.40,0.60,1.00,1.50,1.80,2.00
110047,0.4,0.6,1.0,1.5,2.0,3.0
128053,0.4,0.6,1.0,1.5,1.8,2.0
128090,0.3,0.6,1.0,1.5,1.8,2.0
123050,0.40,0.80,1.00,1.50,2.50,3.50
113012,0.3,0.5,1.0,1.3,1.5,1.8
110057,0.2,0.5,1.0,1.5,1.8,2.0
113565,0.4,0.8,1.0,1.5,2.5,3.0
123074,0.4,0.6,1.0,1.5,2.5,3.0
123111,0.2,0.3,0.4,0.8,1.8,2.0
110043,0.30,0.50,0.80,1.00,1.30,1.80
113505,0.3,0.5,1.0,1.5,1.8,2.0
123062,0.5,0.7,1.0,2.0,2.5,3.0
123070,0.3,0.5,1,1.5,1.8,2
127033,0.30,0.50,1.00,1.50,1.80,2.00
113011,0.2,0.5,1.0,1.5,1.8,2.0
128040,0.40,0.60,1.00,1.50,1.80,2.00
