id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
123102,华自转债,300490.sz,华自科技,321.0,353.84,-9.28%,AA-,4.43,8.2%,8.0%,2025-03-11,100.000,6.47,2027-03-11,119.000,5.523,X,,12.03
127029,中钢转债,000928.sz,中钢国际,194.874,197.11,-1.14%,AA+,2.47,6.6%,6.6%,2025-03-18,100.000,4.12,2027-03-18,113.000,5.542,X,,7.66
123069,金诺转债,300505.sz,川金诺,249.9,252.49,-1.03%,AA-,5.85,5.5%,3.7%,2024-10-15,100.000,13.36,2026-10-15,120.000,5.121,N,,24.82
123094,星源转2,300568.sz,星源材质,243.2,245.11,-0.78%,AA,11.25,0.5%,0.4%,2025-01-20,100.000,11.78,2027-01-19,112.000,5.384,Y,2021-09-06,25.53
113016,小康转债,601127.ss,小康股份,445.34,448.0,-0.59%,AA-,13.23,0.3%,0.2%,2021-11-06,100.000,11.87,2023-11-06,106.000,2.178,N,,22.05
128103,同德转债,002360.sz,同德化工,200.5,201.38,-0.44%,A+,3.07,3.5%,2.7%,2024-03-25,100.000,3.56,2026-03-25,115.000,4.562,N,,6.60
113012,骆驼转债,601311.ss,骆驼股份,152.25,152.84,-0.39%,AA,2.14,0.4%,0.4%,2021-03-23,100.000,6.90,2023-03-24,105.000,1.556,Y,2021-09-02,12.82
123030,九洲转债,300040.sz,九洲集团,220.503,221.25,-0.34%,AA-,2.06,2.1%,1.6%,2023-08-21,100.000,2.80,2025-08-19,115.000,3.964,Y,2021-09-14,5.20
132014,18中化EB,601117.ss,中国化学,197.85,198.32,-0.07%,AAA,1.81,2.7%,2.7%,2022-04-24,100.000,4.99,2023-04-24,106.000,1.641,N,,9.27
113009,广汽转债,601238.ss,广汽集团,141.72,141.59,0.09%,AAA,2.34,1.8%,1.2%,2021-01-22,100.680,9.78,2022-01-22,106.000,0.389,X,,18.16
113612,永冠转债,603681.ss,永冠新材,167.76,167.56,0.12%,AA-,3.48,8.7%,3.2%,2024-12-09,100.000,14.41,2026-12-07,115.000,5.266,Y,2021-09-09,26.77
127018,本钢转债,000761.sz,本钢板材,129.715,129.28,0.33%,AAA,1.08,29.7%,26.6%,2024-06-28,100.000,3.51,2026-06-28,119.000,4.822,X,,6.53
110033,国贸转债,600755.ss,厦门国贸,132.83,132.29,0.41%,AAA,0.63,7.0%,6.6%,2020-01-05,100.000,4.70,2022-01-05,108.000,0.342,X,,8.74
128085,鸿达转债,002002.sz,鸿达兴业,161.6,160.87,0.45%,B,1.97,2.5%,2.4%,2023-12-18,100.000,2.74,2025-12-16,118.000,4.290,X,,5.08
128050,钧达转债,002865.sz,钧达股份,224.73,223.51,0.54%,AA-,4.15,3.2%,3.1%,2022-12-10,100.000,10.36,2024-12-10,118.000,3.274,N,,19.24
120004,20华菱EB,000932.sz,华菱钢铁,158.0,157.11,0.56%,AAA,1.34,3.4%,2.8%,2024-01-09,100.000,3.44,2025-01-08,110.000,3.353,X,,6.40
120003,19华菱EB,000932.sz,华菱钢铁,173.93,172.93,0.58%,AAA,1.34,4.5%,3.7%,2023-11-24,100.000,3.13,2024-11-22,110.000,3.225,X,,5.81
113607,伟20转债,603568.ss,伟明环保,138.45,137.63,0.59%,AA,6.50,3.2%,3.2%,2024-11-01,100.000,15.20,2026-11-01,110.000,5.167,X,,28.22
128051,光华转债,002741.sz,光华科技,195.5,194.18,0.68%,AA-,6.93,0.5%,0.4%,2022-12-14,100.000,8.90,2024-12-14,110.000,3.285,Y,2021-09-07,16.54
123068,弘信转债,300657.sz,弘信电子,153.69,152.22,0.97%,AA-,6.71,5.9%,5.6%,2024-10-14,100.000,10.74,2026-10-14,115.000,5.118,X,,19.94
113572,三祥转债,603663.ss,三祥新材,180.09,178.07,1.13%,A+,7.05,3.4%,3.4%,2024-03-11,100.000,9.86,2026-03-11,108.000,4.523,Y,,18.32
123098,一品转债,300723.sz,一品红,137.2,135.01,1.62%,AA-,6.34,10.0%,4.3%,2025-01-27,100.000,17.84,2027-01-27,118.000,5.405,N,,33.12
123067,斯莱转债,300382.sz,斯莱克,284.1,279.49,1.65%,AA-,13.35,2.3%,2.3%,2024-09-16,100.000,6.55,2026-09-16,115.000,5.041,N,,12.17
113525,台华转债,603055.ss,台华新材,174.27,171.34,1.71%,AA,3.44,4.6%,4.3%,2022-12-17,100.000,5.45,2024-12-16,110.000,3.290,X,,10.11
127030,盛虹转债,000301.sz,东方盛虹,246.06,241.06,2.07%,AA+,8.46,8.5%,3.0%,2025-03-21,100.000,9.87,2027-03-22,108.000,5.553,X,,18.33
132018,G三峡EB1,600900.ss,长江电力,122.11,119.35,2.48%,AAA,2.75,3.9%,3.9%,2023-04-10,100.000,11.72,2024-04-09,108.000,2.603,X,,20.09
127020,中金转债,000060.sz,中金岭南,130.469,127.0,2.73%,AA+,1.67,18.1%,18.1%,2024-07-22,100.000,3.24,2026-07-19,110.000,4.879,X,,6.02
113014,林洋转债,601222.ss,林洋能源,155.9,151.54,2.88%,AA,2.00,10.9%,10.9%,2021-10-27,100.000,5.91,2023-10-27,106.000,2.151,X,,10.97
123086,海兰转债,300065.sz,海兰信,168.0,162.86,3.16%,AA-,4.31,10.3%,8.6%,2024-12-10,100.000,5.09,2026-12-10,118.000,5.274,X,,9.45
128013,洪涛转债,002325.sz,洪涛股份,110.42,106.9,3.30%,A-,1.09,48.3%,36.6%,2020-07-29,100.000,1.62,2022-07-29,108.000,0.904,X,,3.02
113027,华钰转债,601020.ss,ST华钰,160.9,155.65,3.37%,A,3.39,3.7%,3.7%,2023-06-14,100.000,7.12,2025-06-13,110.000,3.781,N,,13.22
113039,嘉泽转债,601619.ss,嘉泽新能,154.86,148.55,4.24%,AA,2.71,4.6%,4.5%,2024-08-23,100.000,2.42,2026-08-23,108.000,4.975,X,,4.50
128109,楚江转债,002171.sz,楚江新材,160.057,152.84,4.72%,AA,3.02,11.2%,10.4%,2024-06-03,100.000,6.04,2026-06-03,110.000,4.753,X,,11.22
128113,比音转债,002832.sz,比音勒芬,187.002,178.08,5.01%,AA,5.15,3.2%,2.1%,2024-06-14,100.000,10.22,2026-06-14,112.000,4.784,N,,18.98
113585,寿仙转债,603896.ss,寿仙谷,141.92,135.13,5.02%,AA-,4.06,1.8%,1.8%,2024-06-10,100.000,19.87,2026-06-08,112.000,4.767,N,,36.89
113504,艾华转债,603989.ss,艾华集团,153.46,146.04,5.08%,AA,4.30,4.0%,4.0%,2022-03-02,100.000,14.57,2024-03-01,106.000,2.496,N,,27.05
128094,星帅转债,002860.sz,星帅尔,145.5,138.33,5.18%,A+,3.45,7.9%,5.7%,2024-01-16,100.000,9.66,2026-01-16,115.000,4.375,N,,17.94
110074,精达转债,600577.ss,精达股份,227.02,215.82,5.19%,AA,3.85,3.6%,3.6%,2024-08-19,100.000,2.61,2026-08-18,112.000,4.962,N,,4.85
128082,华锋转债,002806.sz,华锋股份,183.491,174.15,5.36%,A,2.78,8.0%,7.2%,2023-12-04,100.000,6.39,2025-12-03,115.000,4.255,N,,11.87
123084,高澜转债,300499.sz,高澜股份,160.0,151.78,5.42%,A+,4.15,8.6%,7.0%,2024-12-09,100.000,6.30,2026-12-09,115.000,5.271,N,,11.70
123052,飞鹿转债,300665.sz,飞鹿股份,142.883,135.46,5.48%,A+,3.08,12.2%,9.1%,2024-06-04,100.000,4.93,2026-06-04,120.000,4.756,N,,9.16
128096,奥瑞转债,002701.sz,奥瑞金,136.999,129.78,5.56%,AA+,1.99,4.8%,4.8%,2024-02-12,100.000,3.15,2026-02-11,110.000,4.447,N,,5.85
110048,福能转债,600483.ss,福能股份,192.89,182.68,5.59%,AA+,1.60,8.2%,7.3%,2022-12-07,100.000,5.50,2024-12-06,109.000,3.263,N,,10.21
113047,旗滨转债,601636.ss,旗滨集团,222.27,209.84,5.92%,AA+,6.53,2.1%,2.1%,2025-04-08,100.000,8.96,2027-04-08,110.000,5.600,X,,16.64
113615,金诚转债,603979.ss,金诚信,194.75,183.79,5.96%,AA,2.78,6.5%,6.5%,2024-12-23,100.000,8.86,2026-12-22,112.000,5.307,N,,16.45
128075,远东转债,002406.sz,远东传动,130.004,122.68,5.97%,AA,1.21,16.9%,13.4%,2023-09-25,100.000,3.70,2025-09-23,110.000,4.060,N,,6.88
127011,中鼎转2,000887.sz,中鼎股份,172.5,162.42,6.20%,AA+,2.45,5.3%,5.3%,2023-03-08,100.000,7.97,2025-03-08,110.000,3.515,N,,14.81
