id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
123102,华自转债,300490.sz,华自科技,231.91,283.14,-18.09%,AA-,3.54,10.2%,10.0%,2025-03-11,100.000,6.47,2027-03-11,119.000,5.485,X,,12.03
123028,清水转债,300437.sz,清水源,193.88,200.08,-3.10%,A+,4.54,12.1%,7.6%,2023-06-19,100.000,8.29,2025-06-18,115.000,3.756,X,,15.39
127040,国泰转债,002091.sz,江苏国泰,168.423,173.17,-2.74%,AA+,2.65,19.3%,18.7%,2025-07-07,100.000,6.31,2027-07-06,108.000,5.805,X,,11.73
127029,中钢转债,000928.sz,中钢国际,171.687,175.72,-2.30%,AA+,2.21,7.4%,7.4%,2025-03-18,100.000,4.12,2027-03-18,113.000,5.504,X,,7.66
113549,白电转债,603861.ss,白云电器,141.89,145.3,-2.35%,AA,2.12,16.6%,15.6%,2023-11-14,100.000,6.18,2025-11-14,110.000,4.164,X,,11.48
113525,台华转债,603055.ss,台华新材,229.98,234.32,-1.85%,AA,4.76,2.6%,2.4%,2022-12-17,100.000,5.45,2024-12-16,110.000,3.252,N,,10.11
127018,本钢转债,000761.sz,本钢板材,129.076,130.68,-1.23%,AAA,1.09,25.2%,22.6%,2024-06-28,100.000,3.51,2026-06-28,119.000,4.784,X,,6.53
123067,斯莱转债,300382.sz,斯莱克,318.474,321.9,-1.06%,AA-,15.37,2.0%,2.0%,2024-09-16,100.000,6.55,2026-09-16,115.000,5.000,N,,12.17
123068,弘信转债,300657.sz,弘信电子,135.443,136.96,-1.11%,AA-,6.02,6.1%,5.8%,2024-10-14,100.000,10.74,2026-10-14,115.000,5.079,X,,19.94
128109,楚江转债,002171.sz,楚江新材,146.421,147.28,-0.58%,AA,2.90,11.5%,10.8%,2024-06-03,100.000,6.04,2026-06-03,110.000,4.715,X,,11.22
128085,鸿达转债,002002.sz,鸿达兴业,163.741,164.19,-0.27%,B,2.01,2.2%,2.2%,2023-12-18,100.000,2.74,2025-12-16,118.000,4.252,X,,5.08
