bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
127043,川恒转债,sz002895,川恒股份,C,21.02,,2022-02-18,2027-08-11,2025-08-11,,,100.000,y,32.20,30,30,0,0.00,,,,115.000,n,130.000,15,30,0,,X,11.600,11.600,AA-,AA-,无担保,,,,szmb,,,未到转股期,127043,2.3749,082895,072895,,N,N,59.730,-,,,7.31,N,488423000.0,483212500.0,Y,45.70,104752.21,-5.77%,00,buy,buy,buy,,217.41,-54.00%,5.901,3.35%,2.71%,100.000,100.000,0.00%,0.00,Y,0,0,,-,,N,-,buy,-,27-08-11,46.00,27.33,14.71,5.3%,5.2%,"转债占流动市值比：5.3%
转债占总市值比：5.2%",0.00,002895,sz127043,有效期：-；质押代码：127043,未到转股期；2022-02-18 开始转股,待上市
113027,华钰转债,sh601020,ST华钰,C,10.17,,2019-12-20,2025-06-13,2023-06-14,,,100.000,y,47.24,30,30,0,0.00,,,89.17,110.000,n,130.000,15,30,18,,N,6.400,3.183,A,A,无担保,,,,shmb,公司8月11日公告决议，本次（2020年6月30日至2020年8月10日）不行使华钰转债的提前赎回权利，不提前赎回,,113027,113027,1.2160,764020,783020,,N,N,4.450,buy,,,3.23,N,553886596.0,553886596.0,Y,15.07,3310.13,-4.98%,00,buy,buy,buy,14:59:59,148.18,-5.26%,3.740,-5.44%,-6.07%,140.390,140.390,-7.66%,40242.20,Y,0,0,G,-,,N,-,buy,-,25-06-13,135.13,13.22,7.12,3.8%,3.8%,"转债占流动市值比：3.8%
转债占总市值比：3.8%",0.00,601020,sh113027,有效期：-；质押代码：113027,113027；2019-12-20 开始转股,全价：140.390 最后更新：14:59:59
123102,华自转债,sz300490,华自科技,C,9.25,2021-07-26,2021-09-22,2027-03-11,2025-03-11,,,100.000,y,27.55,30,30,0,0.00,,,331.35,119.000,n,130.000,15,30,0,,X,6.700,6.700,AA-,AA-,无,,,,szcy,,,未到转股期,123102,2.6154,380490,370490,,N,N,18.610,buy,,,3.18,N,256771546.0,250158401.0,Y,23.50,120881.73,-10.27%,00,buy,buy,buy,15:14:03,254.05,-3.96%,5.482,-11.46%,-12.13%,244.000,244.000,5.17%,549612.15,Y,0,0,,-,,N,-,buy,-,27-03-11,240.04,12.03,6.47,11.4%,11.1%,"转债占流动市值比：11.4%
转债占总市值比：11.1%",0.00,300490,sz123102,有效期：-；质押代码：123102,未到转股期；2021-09-22 开始转股,全价：244.000 最后更新：15:14:03
127040,国泰转债,sz002091,江苏国泰,C,9.02,,2022-01-13,2027-07-06,2025-07-07,,,100.000,y,40.84,30,30,0,0.00,,,10.41,108.000,n,130.000,15,30,0,,X,45.570,45.570,AA+,AA+,无,,,,szmb,,,未到转股期,127040,2.9100,082091,072091,,N,N,65.940,buy,R,,2.62,N,1563536598.0,1513016522.0,Y,15.46,106695.15,1.24%,00,buy,buy,buy,15:14:03,171.40,-2.60%,5.803,-6.66%,-7.01%,166.944,166.944,-0.55%,78790.79,Y,0,0,,-,,N,-,buy,-,27-07-06,164.34,11.73,6.31,19.5%,18.9%,"转债占流动市值比：19.5%
转债占总市值比：18.9%",0.00,002091,sz127040,有效期：-；质押代码：127040,未到转股期；2022-01-13 开始转股,全价：166.944 最后更新：15:14:03
123067,斯莱转债,sz300382,斯莱克,C,9.36,2021-06-30,2021-03-23,2026-09-16,2024-09-16,,,100.000,y,21.88,30,30,0,0.00,,,52.54,115.000,n,130.000,15,30,30,,N,3.880,3.316,AA-,AA-,无担保,,,,szcy,2021年8月24日公告：本次（2021年2月24日至2021年8月23日）不行使提前赎回权利，至2021年11月24日均不提前赎回,,123067,123067,0.6940,380382,370382,,N,N,19.960,buy,,,15.28,N,564575158.0,564517333.0,Y,29.95,25865.71,0.84%,00,buy,buy,buy,15:14:03,319.98,-2.49%,5.000,-17.53%,-18.07%,312.000,312.000,-0.19%,54463.81,Y,0,0,G,-,,N,-,buy,-,26-09-16,309.51,12.17,6.55,2.0%,2.0%,"转债占流动市值比：2.0%
转债占总市值比：2.0%",0.00,300382,sz123067,有效期：-；质押代码：123067,123067；2021-03-23 开始转股,全价：312.000 最后更新：15:14:03
123028,清水转债,sz300437,清水源,C,11.84,2020-06-15,2019-12-25,2025-06-18,2023-06-19,,,100.000,y,32.64,30,30,0,0.00,,,934.21,115.000,n,130.000,15,30,5,,X,4.900,3.504,A+,A+,无担保,,,,szcy,,,123028,123028,2.2443,380437,370437,,N,N,33.080,buy,,,4.86,N,221268763.0,140016263.0,Y,25.39,106949.15,3.72%,00,buy,buy,buy,15:14:03,214.44,-2.07%,3.753,-13.93%,-14.70%,210.000,210.000,6.06%,708457.67,Y,0,0,,-,,N,-,buy,-,25-06-18,207.93,15.39,8.29,9.9%,6.2%,"转债占流动市值比：9.9%
转债占总市值比：6.2%",0.00,300437,sz123028,有效期：-；质押代码：123028,123028；2019-12-25 开始转股,全价：210.000 最后更新：15:14:03
123068,弘信转债,sz300657,弘信电子,C,15.34,2021-07-13,2021-04-21,2026-10-14,2024-10-14,,,100.000,y,55.87,30,30,0,0.00,,,142.89,115.000,n,130.000,15,30,15,2021-10-11,Y,5.700,4.844,AA-,AA-,无担保,,,,szcy,"最后交易日：2021年10月11日
最后转股日：2021年10月11日
赎回价：100.397元/张",100.397,123068,123068,1.6679,380657,370657,,N,N,67.430,buy,,,5.53,N,409916426.0,387733198.0,Y,19.22,52977.93,-7.55%,00,buy,buy,buy,15:14:03,125.29,-1.76%,5.077,-0.31%,-1.02%,123.094,123.094,-8.48%,86858.76,Y,0,0,R,-,,N,-,buy,-,26-10-14,121.33,19.94,10.74,6.5%,6.1%,"转债占流动市值比：6.5%
转债占总市值比：6.1%",0.00,300657,sz123068,有效期：-；质押代码：123068,123068；2021-04-21 开始转股,全价：123.094 最后更新：15:14:03
128050,钧达转债,sz002865,钧达股份,C,14.80,2021-05-26,2019-06-14,2024-12-10,2022-12-10,,,100.000,y,35.72,30,30,0,0.00,,,261.12,118.000,n,130.000,15,30,30,,N,3.200,1.306,AA-,AA-,中汽塑料,,,,szmb,2021年3月20日公告：本次（2021年2月22日至2021年3月19日）不行使钧达转债的提前赎回权利，至2021年6月18日均不提前赎回,,128050,128050,2.6298,082865,072865,,N,N,17.350,buy,,,3.64,N,132641834.0,128972182.0,Y,29.00,19298.80,-8.78%,00,buy,buy,buy,15:14:03,195.95,-1.20%,3.233,-13.39%,-14.37%,193.600,193.600,-8.68%,68244.50,Y,1,1,G,-,,N,-,buy,-,24-12-10,192.40,19.24,10.36,3.5%,3.4%,"转债占流动市值比：3.5%
转债占总市值比：3.4%",0.00,002865,sz128050,有效期：-；质押代码：128050,128050；2019-06-14 开始转股,全价：193.600 最后更新：15:14:03
127029,中钢转债,sz000928,中钢国际,C,5.89,2021-04-30,2021-09-27,2027-03-18,2025-03-18,,,100.000,y,41.27,30,30,0,0.00,,,13.29,113.000,n,130.000,15,30,0,,X,9.600,9.600,AA+,AA+,无,,,,szmb,,,未到转股期,127029,0.7639,080928,070928,,N,N,20.710,buy,R,,2.13,N,1256662942.0,1256631742.0,Y,9.99,25178.07,-2.54%,00,buy,buy,buy,15:14:03,169.61,-1.15%,5.501,-6.34%,-6.84%,167.657,167.657,-2.53%,21527.90,Y,0,0,,-,,N,-,buy,-,27-03-18,166.51,7.66,4.12,7.6%,7.6%,"转债占流动市值比：7.6%
转债占总市值比：7.6%",0.00,000928,sz127029,有效期：-；质押代码：127029,未到转股期；2021-09-27 开始转股,全价：167.657 最后更新：15:14:03
123047,久吾转债,sz300631,久吾高科,C,17.43,2021-05-28,2020-09-28,2026-03-19,2024-03-19,,,100.000,y,25.94,30,30,0,0.00,,,262.12,121.000,n,130.000,15,30,30,2021-10-20,Y,2.540,1.569,A+,A+,无担保,,,,szcy,"最后交易日：2021年10月20日
最后转股日：2021年10月20日
赎回价：100.47元/张",100.470,123047,123047,2.4063,380631,370631,,N,N,71.110,buy,,,6.30,N,108639690.0,106258815.0,Y,47.04,38713.34,-5.03%,00,buy,buy,buy,15:14:03,269.88,-1.06%,4.504,-15.16%,-15.99%,267.025,267.025,-5.74%,113293.04,Y,0,0,R,-,,N,-,buy,-,26-03-19,265.96,22.66,12.20,3.1%,3.1%,"转债占流动市值比：3.1%
转债占总市值比：3.1%",0.00,300631,sz123047,有效期：-；质押代码：123047,123047；2020-09-28 开始转股,全价：267.025 最后更新：15:14:03
