id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
123102,华自转债,300490.sz,华自科技,317.9,353.95,-10.18%,AA-,4.43,8.2%,8.0%,2025-03-11,100.000,6.47,2027-03-11,119.000,5.490,X,,12.03
123030,九洲转债,300040.sz,九洲集团,234.5,241.0,-2.70%,AA-,2.27,1.3%,1.0%,2023-08-21,100.000,2.80,2025-08-19,115.000,3.932,Y,2021-09-14,5.20
127029,中钢转债,000928.sz,中钢国际,180.525,184.72,-2.27%,AA+,2.32,7.0%,7.0%,2025-03-18,100.000,4.12,2027-03-18,113.000,5.510,X,,7.66
127040,国泰转债,002091.sz,江苏国泰,167.89,171.06,-1.86%,AA+,2.62,19.5%,18.9%,2025-07-07,100.000,6.31,2027-07-06,108.000,5.811,X,,11.73
127030,盛虹转债,000301.sz,东方盛虹,268.0,273.05,-1.85%,AA+,9.58,7.5%,2.7%,2025-03-21,100.000,9.87,2027-03-22,108.000,5.521,X,,18.33
113014,林洋转债,601222.ss,林洋能源,145.05,147.39,-1.59%,AA,2.05,5.9%,5.9%,2021-10-27,100.000,5.91,2023-10-27,106.000,2.118,Y,2021-09-28,10.97
110041,蒙电转债,600863.ss,内蒙华电,147.42,149.22,-1.21%,AAA,1.54,8.4%,8.4%,2021-12-21,100.000,1.79,2023-12-21,106.000,2.268,X,,3.33
113525,台华转债,603055.ss,台华新材,233.52,235.6,-0.88%,AA,4.78,2.8%,2.6%,2022-12-17,100.000,5.45,2024-12-16,110.000,3.258,N,,10.11
127018,本钢转债,000761.sz,本钢板材,134.5,135.06,-0.41%,AAA,1.13,24.6%,22.0%,2024-06-28,100.000,3.51,2026-06-28,119.000,4.789,X,,6.53
113572,三祥转债,603663.ss,三祥新材,163.78,164.44,-0.40%,A+,6.53,2.9%,2.9%,2024-03-11,100.000,9.86,2026-03-11,108.000,4.490,Y,2021-09-23,18.32
128085,鸿达转债,002002.sz,鸿达兴业,161.1,161.64,-0.33%,B,1.98,2.3%,2.2%,2023-12-18,100.000,2.74,2025-12-16,118.000,4.258,X,,5.08
110033,国贸转债,600755.ss,厦门国贸,134.87,135.27,-0.29%,AAA,0.65,5.3%,5.0%,2020-01-05,100.000,4.70,2022-01-05,108.000,0.310,X,,8.74
128103,同德转债,002360.sz,同德化工,197.266,197.83,-0.29%,A+,3.01,3.5%,2.7%,2024-03-25,100.000,3.56,2026-03-25,115.000,4.529,N,,6.60
127020,中金转债,000060.sz,中金岭南,137.15,137.37,-0.16%,AA+,1.81,15.8%,15.8%,2024-07-22,100.000,3.24,2026-07-19,110.000,4.847,X,,6.02
113615,金诚转债,603979.ss,金诚信,223.82,224.11,-0.13%,AA,3.39,5.4%,5.4%,2024-12-23,100.000,8.86,2026-12-22,112.000,5.274,N,,16.45
128113,比音转债,002832.sz,比音勒芬,196.549,196.64,-0.05%,AA,5.68,2.9%,1.9%,2024-06-14,100.000,10.22,2026-06-14,112.000,4.751,N,,18.98
113607,伟20转债,603568.ss,伟明环保,131.65,131.69,-0.03%,AA,6.22,3.3%,3.3%,2024-11-01,100.000,15.20,2026-11-01,110.000,5.134,X,,28.22
120004,20华菱EB,000932.sz,华菱钢铁,171.0,170.93,0.04%,AAA,1.46,3.1%,2.6%,2024-01-09,100.000,3.44,2025-01-08,110.000,3.321,X,,6.40
113549,白电转债,603861.ss,白云电器,129.44,129.22,0.17%,AA,1.88,18.7%,17.6%,2023-11-14,100.000,6.18,2025-11-14,110.000,4.170,X,,11.48
132014,18中化EB,601117.ss,中国化学,175.0,174.7,0.38%,AAA,2.04,2.6%,2.1%,2022-04-24,100.000,5.17,2023-04-24,106.000,1.608,N,,9.61
113039,嘉泽转债,601619.ss,嘉泽新能,141.02,140.46,0.40%,AA,2.57,4.6%,4.5%,2024-08-23,100.000,2.42,2026-08-23,108.000,4.942,X,,4.50
110048,福能转债,600483.ss,福能股份,197.15,196.18,0.50%,AA+,1.72,7.6%,6.8%,2022-12-07,100.000,5.50,2024-12-06,109.000,3.230,N,,10.21
123042,银河转债,300619.sz,金银河,242.9,241.18,0.71%,A+,8.25,5.0%,3.8%,2024-01-15,100.000,17.07,2026-01-13,110.000,4.334,N,,31.69
123067,斯莱转债,300382.sz,斯莱克,330.2,327.88,0.71%,AA-,15.66,1.9%,1.9%,2024-09-16,100.000,6.55,2026-09-16,115.000,5.008,N,,12.17
113585,寿仙转债,603896.ss,寿仙谷,148.86,147.67,0.80%,AA-,4.44,1.7%,1.7%,2024-06-10,100.000,19.87,2026-06-08,112.000,4.734,N,,36.89
113016,小康转债,601127.ss,小康股份,473.24,469.1,0.88%,AA-,13.86,0.3%,0.2%,2021-11-06,100.000,11.87,2023-11-06,106.000,2.145,N,,22.05
128096,奥瑞转债,002701.sz,奥瑞金,136.084,134.67,1.05%,AA+,2.07,4.6%,4.6%,2024-02-12,100.000,3.15,2026-02-11,110.000,4.414,N,,5.85
113009,广汽转债,601238.ss,广汽集团,134.15,132.71,1.08%,AAA,2.19,1.9%,1.3%,2021-01-22,100.680,9.78,2022-01-22,106.000,0.356,X,,18.16
123068,弘信转债,300657.sz,弘信电子,142.3,140.61,1.20%,AA-,6.20,6.0%,5.6%,2024-10-14,100.000,10.74,2026-10-14,115.000,5.085,X,,19.94
