bond_id,bond_nm,stock_id,stock_nm,btype,convert_price,convert_price_valid_from,convert_dt,maturity_dt,next_put_dt,put_dt,put_notes,put_price,put_inc_cpn_fl,put_convert_price_ratio,put_count_days,put_total_days,put_real_days,repo_discount_rt,repo_valid_from,repo_valid_to,turnover_rt,redeem_price,redeem_inc_cpn_fl,redeem_price_ratio,redeem_count_days,redeem_total_days,redeem_real_days,redeem_dt,redeem_flag,orig_iss_amt,curr_iss_amt,rating_cd,issuer_rating_cd,guarantor,ssc_dt,esc_dt,sc_notes,market_cd,force_redeem,real_force_redeem_price,convert_cd,repo_cd,ration,ration_cd,apply_cd,online_offline_ratio,qflag,qflag2,ration_rt,fund_rt,margin_flg,lt_bps,pb,pb_flag,total_shares,float_shares,sqflg,sprice,svolume,sincrease_rt,qstatus,bond_value,bond_value2,volatility_rate,last_time,convert_value,premium_rt,year_left,ytm_rt,ytm_rt_tax,price,full_price,increase_rt,volume,convert_price_valid,adj_scnt,adj_cnt,redeem_icon,ref_yield_info,adjust_tip,adjusted,option_tip,bond_value3,left_put_year,short_maturity_dt,dblow,force_redeem_price,put_convert_price,convert_amt_ratio,convert_amt_ratio2,convert_amt_ratio_tips,stock_net_value,stock_cd,pre_bond_id,repo_valid,convert_cd_tip,price_tips
110064,建工转债,sh600939,重庆建工,C,4.53,2021-07-22,2020-06-29,2025-12-19,2023-12-19,,,100.000,y,49.70,30,30,0,0.00,,,105.08,113.000,n,130.000,15,30,2,,X,16.600,16.290,AA+,AA+,无担保,,,,shmb,,,110064,110064,0.9140,704939,733939,,N,N,31.520,buy,,,1.12,Y,1814549279.0,1814549279.0,Y,6.38,89080.20,7.05%,00,buy,buy,buy,15:00:00,140.84,-1.84%,3.855,-3.85%,-4.67%,138.250,138.250,-0.87%,239286.90,Y,0,0,,-,,N,-,buy,-,25-12-19,136.41,5.89,3.17,14.1%,14.1%,"转债占流动市值比：14.1%
转债占总市值比：14.1%",0.00,600939,sh110064,有效期：-；质押代码：110064,110064；2020-06-29 开始转股,全价：138.250 最后更新：15:00:00
127011,中鼎转2,sz000887,中鼎股份,C,11.39,2021-06-07,2019-09-16,2025-03-08,2023-03-08,,,100.000,y,43.62,30,30,0,0.00,,,20.06,110.000,n,130.000,15,30,24,2022-02-23,Y,12.000,8.075,AA+,AA+,无担保,,,,szmb,"最后交易日：2022年2月23日
最后转股日：2022年2月23日
赎回价：100.97元/张",100.970,127011,127011,0.9829,080887,070887,,N,N,63.530,buy,R,,2.35,N,1211364474.0,1208772051.0,Y,18.28,57481.98,-5.09%,00,buy,buy,buy,15:14:03,160.49,-0.77%,3.071,-10.39%,-11.11%,159.263,159.263,-5.76%,26554.90,Y,0,0,R,-,,N,-,buy,-,25-03-08,158.49,14.81,7.97,3.7%,3.6%,"转债占流动市值比：3.7%
转债占总市值比：3.6%",0.00,000887,sz127011,有效期：-；质押代码：127011,127011；2019-09-16 开始转股,全价：159.263 最后更新：15:14:03
128113,比音转债,sz002832,比音勒芬,C,14.60,2021-07-07,2020-12-21,2026-06-14,2024-06-14,,,100.000,y,40.48,30,30,0,0.00,,,13.32,112.000,n,130.000,15,30,24,2022-02-22,Y,6.890,1.600,AA,AA,无担保,,,,szmb,"最后交易日：2022年2月22日
最后转股日：2022年2月22日
赎回价：100.42元/张",100.420,128113,128113,1.3147,082832,072832,,N,N,85.110,buy,,,4.64,N,550326712.0,378295071.0,Y,25.25,6147.22,-2.81%,00,buy,buy,buy,15:14:03,172.95,-0.48%,4.340,-8.68%,-9.27%,172.110,172.110,-2.62%,3719.19,Y,0,0,R,-,,N,-,buy,-,26-06-14,171.63,18.98,10.22,1.7%,1.2%,"转债占流动市值比：1.7%
转债占总市值比：1.2%",0.00,002832,sz128113,有效期：-；质押代码：128113,128113；2020-12-21 开始转股,全价：172.110 最后更新：15:14:03
128096,奥瑞转债,sz002701,奥瑞金,C,4.50,2021-06-09,2020-08-17,2026-02-11,2024-02-12,,,100.000,y,50.16,30,30,0,0.00,,,6.69,110.000,n,130.000,15,30,24,2022-02-28,Y,10.870,4.561,AA+,AA+,无担保,,,,szmb,"最后交易日：2022年2月28日
最后转股日：2022年2月28日
赎回价：100.05元/张",100.050,128096,128096,0.4614,082701,072701,,N,N,58.210,buy,R,,2.09,N,2447652008.0,2445438132.0,Y,6.28,13018.25,-1.72%,00,buy,buy,buy,15:14:03,139.56,-0.40%,4.000,-4.77%,-5.38%,139.000,139.000,-3.27%,4307.20,Y,0,0,R,-,,N,-,buy,-,26-02-11,138.60,5.85,3.15,3.0%,3.0%,"转债占流动市值比：3.0%
转债占总市值比：3.0%",0.00,002701,sz128096,有效期：-；质押代码：128096,128096；2020-08-17 开始转股,全价：139.000 最后更新：15:14:03
128094,星帅转债,sz002860,星帅尔,C,13.80,2021-06-08,2020-07-22,2026-01-16,2024-01-16,,,100.000,y,50.44,30,30,0,0.00,,,28.08,115.000,n,130.000,15,30,24,2022-02-24,Y,2.800,1.491,A+,A+,股份质押和保证,,,,szmb,"最后交易日：2022年2月24日
最后转股日：2022年2月24日
赎回价：100.13元/张",100.130,128094,128094,2.3897,082860,072860,,N,N,75.030,buy,,,3.25,N,204206647.0,147145649.0,Y,19.15,4980.95,-2.94%,00,buy,buy,buy,15:14:03,138.77,-0.34%,3.932,-3.55%,-4.39%,138.300,138.300,-3.27%,5873.39,Y,0,0,R,-,,N,-,buy,-,26-01-16,137.96,17.94,9.66,5.3%,3.8%,"转债占流动市值比：5.3%
转债占总市值比：3.8%",0.00,002860,sz128094,有效期：-；质押代码：128094,128094；2020-07-22 开始转股,全价：138.300 最后更新：15:14:03
113026,核能转债,sh601985,中国核电,C,5.73,2021-07-16,2019-10-21,2025-04-14,2023-04-17,,,100.000,y,52.16,30,30,0,0.81,2022-02-14,2022-02-14,4.40,105.000,n,130.000,15,30,15,2022-03-08,Y,78.000,49.483,AAA,AAA,无担保,,,,shmb,"最后交易日：2022年3月8日
最后转股日：2022年3月8日
赎回价：100.899元/张",100.899,113026,113026,0.5010,764985,783985,,N,N,79.230,buy,R,,1.80,N,17522710852.0,17074949659.0,Y,7.69,83645.41,-0.77%,00,buy,buy,buy,14:59:58,134.21,-0.18%,3.173,-6.34%,-6.83%,133.970,133.970,-0.75%,29438.10,Y,0,0,R,-,,N,-,buy,-,25-04-14,133.79,7.45,4.01,3.8%,3.7%,"转债占流动市值比：3.8%
转债占总市值比：3.7%",0.00,601985,sh113026,有效期：2022-02-14 到 2022-02-14；质押代码：113026,113026；2019-10-21 开始转股,全价：133.970 最后更新：14:59:58
123111,东财转3,sz300059,东方财富,C,23.35,2021-05-27,2021-10-13,2027-04-06,2025-04-07,,,100.000,y,51.51,30,30,0,0.00,,,5.94,107.000,n,130.000,15,30,24,2022-02-28,Y,158.000,122.345,AA+,AA+,无,,,,szcy,"最后交易日：2022年2月28日
最后转股日：2022年2月28日
赎回价：100.18元/张",100.180,123111,123111,1.8344,380059,370059,,N,N,71.340,buy,R,,8.02,N,10366327855.0,8592810347.0,Y,31.73,392398.75,-1.28%,00,buy,buy,buy,15:14:03,135.89,-0.17%,5.151,-3.95%,-4.30%,135.656,135.656,-1.31%,99656.53,Y,0,0,R,-,,N,-,buy,-,27-04-06,135.49,30.36,16.34,4.5%,3.7%,"转债占流动市值比：4.5%
转债占总市值比：3.7%",0.00,300059,sz123111,有效期：-；质押代码：123111,123111；2021-10-13 开始转股,全价：135.656 最后更新：15:14:03
128093,百川转债,sz002455,百川股份,C,5.77,2021-05-27,2020-07-09,2026-01-03,2024-01-03,,,100.000,y,32.76,30,30,0,0.00,,,58.75,120.000,n,130.000,20,30,24,2022-03-01,Y,5.200,1.380,AA-,AA-,自有资产抵押担保,,,,szmb,"最后交易日：2022年3月1日
最后转股日：2022年3月1日
赎回价：100.397元/张",100.397,128093,128093,1.0314,082455,072455,,N,N,19.690,buy,,,3.87,N,565949304.0,450664327.0,Y,12.33,10418.95,-1.36%,00,buy,buy,buy,15:14:03,213.69,0.14%,3.896,-12.53%,-13.52%,214.000,214.000,-1.29%,17577.60,Y,0,0,R,-,,N,-,buy,-,26-01-03,214.14,7.50,4.04,2.5%,2.0%,"转债占流动市值比：2.5%
转债占总市值比：2.0%",0.00,002455,sz128093,有效期：-；质押代码：128093,128093；2020-07-09 开始转股,全价：214.000 最后更新：15:14:03
123043,正元转债,sz300645,正元智慧,C,15.38,2021-06-09,2020-09-11,2026-03-04,2024-03-04,,,100.000,y,43.06,30,30,0,0.00,,,1333.04,115.000,n,130.000,15,30,30,2022-02-17,Y,1.750,1.637,A+,A+,无担保,,,,szcy,"最后交易日：2022年2月17日
最后转股日：2022年2月17日
赎回价：100.67元/张",100.670,123043,123043,1.3815,380645,370645,,N,N,48.790,buy,,,4.58,N,127716673.0,127716673.0,Y,25.00,51265.46,3.52%,00,buy,buy,buy,15:14:03,162.55,0.89%,4.060,-7.40%,-8.18%,164.000,164.000,1.99%,372846.81,Y,0,0,R,-,,N,-,buy,-,26-03-04,164.89,19.99,10.77,5.1%,5.1%,"转债占流动市值比：5.1%
转债占总市值比：5.1%",0.00,300645,sz123043,有效期：-；质押代码：123043,123043；2020-09-11 开始转股,全价：164.000 最后更新：15:14:03
128085,鸿达转债,sz002002,鸿达兴业,C,3.91,2021-06-22,2020-06-22,2025-12-16,2023-12-18,,,100.000,y,51.64,30,30,0,0.00,,,11.38,118.000,n,130.000,15,30,0,,N,24.270,3.391,B,B,无担保,,,,szmb,2021年12月11日公告：本次不提前赎回鸿达转债，至2022年12月8日前均不提前赎回,,128085,128085,0.9374,082002,072002,,N,N,26.280,buy,R,,1.58,N,3120485457.0,3116603421.0,Y,5.30,24187.06,-2.03%,00,buy,buy,buy,15:14:03,135.55,3.54%,3.847,-3.27%,-4.26%,140.350,140.350,-1.96%,5464.21,Y,0,0,G,-,,N,-,buy,-,25-12-16,143.89,5.08,2.74,2.1%,2.1%,"转债占流动市值比：2.1%
转债占总市值比：2.1%",0.00,002002,sz128085,有效期：-；质押代码：128085,128085；2020-06-22 开始转股,全价：140.350 最后更新：15:14:03
